,player
0,HC Knight
1,SJ Taylor
2,AJ Healy
3,BL Mooney
4,TT Beaumont
5,NR Sciver
6,KH Brunt
7,DN Wyatt
8,EJ Villani
9,A Gardner
10,EA Perry
11,FC Wilson
12,RL Haynes
13,JL Gunn
14,D Hazell
15,S Ecclestone
16,DM Kimmince
17,JL Jonassen
18,SE Aley
19,M Strano
20,ML Schutt
21,HK Matthews
22,DJS Dottin
23,SR Taylor
24,BYA Mendis
25,MDN Hansika
26,AC Jayangani
27,MADD Surangika
28,Kycia A Knight
29,RS Vandort
30,MR Aguilleira
31,HASD Siriwardene
32,B Cooper
33,KADA Kanchana
34,GWHM Perera
35,SS Weerakkody
36,I Ranaweera
37,Kyshona A Knight
38,HHC Gunaratne
39,SFM Devine
40,SW Bates
41,Nahida Khan
42,Sidra Ameen
43,Bismah Maroof
44,Javeria Khan
45,Aliya Riaz
46,KT Perkins
47,Natalia Pervaiz
48,AE Satterthwaite
49,Sidra Nawaz
50,KJ Martin
51,ML Green
52,SRH Curtis
53,TMM Newton
54,LM Kasperek
55,AM Peterson
56,Aiman Anwer
57,Sana Mir
58,Nashra Sandhu
59,Sadia Yousuf
60,Iram Javed
61,L Lee
62,D van Niekerk
63,M Raj
64,S Mandhana
65,S Luus
66,H Kaur
67,JI Rodrigues
68,M du Preez
69,N de Klerk
70,V Krishnamurthy
71,CL Tryon
72,M Kapp
73,S Ismail
74,A Khaka
75,AA Patil
76,S Pandey
77,T Bhatia
78,Poonam Yadav
79,P Vastrakar
80,RS Gayakwad
81,M Klaas
82,L Wolvaardt
83,T Brits
84,S Lackay
85,AE Jones
86,AC Kerr
87,B Bezuidenhout
88,HNK Jensen
89,A Shrubsole
90,LMM Tahuhu
91,JM Watkin
92,HM Rowe
93,KE Broadmore
94,MM Lanning
95,BF Smith
96,S Molineux
97,NJ Carey
98,DB Sharma
99,AN Davidson-Richards
100,NE Farrant
101,KL George
102,A Hartley
103,R Boyce
104,NC Dodd
105,AK Peters
106,ASS Fletcher
107,A Mohammed
108,CN Nation
109,MAA Sanjeewani
110,HIS Mendis
111,NND de Silva
112,Nida Dar
113,Kainat Imtiaz
114,Fareeha Mehmood
115,Diana Baig
116,Ghulam Fatima
117,Sanjida Islam
118,Rumana Ahmed
119,Shamima Sultana
120,Fargana Hoque
121,Nigar Sultana
122,Fahima Khatun
123,Panna Ghosh
124,Murshida Khatun
125,Jahanara Alam
126,HR Huddleston
127,CMA Shillington
128,MV Waldron
129,CNIM Joyce
130,GH Lewis
131,IMHC Joyce
132,SM Kavanagh
133,L Delany
134,AJ Kenealy
135,Rachel Delaney
136,L Maritz
137,Ayasha Rahman
138,KJ Garth
139,EAJ Richardson
140,N Chantam
141,N Boochatham
142,N Chaiwai
143,S Tippoch
144,N Koncharoenkai
145,C Sutthiruang
146,R Padunglerd
147,W Liengprasert
148,S Laomi
149,R Ntono
150,R Musamali
151,SJ Bryce
152,L Jack
153,S Kemigisha
154,J Mbabazi
155,KE Bryce
156,I Nakisuuyi
157,G Candiru
158,F Najjumba
159,K Awino
160,JM Apio
161,C Namugenyi
162,C Aweko
163,SL Kalis
164,HDJ Siegers
165,ER Oza
166,Chaya Mughal
167,Nisha Ali
168,D Hannema
169,R Rijke
170,UCKA Dona
171,CR Seneviratna
172,CC van Slobbe
173,H Hotchandani
174,S Jimmy
175,K John
176,B Tau
177,P Siaka
178,T Ruma
179,K Arua
180,V Frank
181,RV Scholes
182,B de Leede
183,EE Corder
184,Mariska Kornet
185,J van Vliet
186,MEC de Fouw
187,S Siegers
188,KKN Egodage
189,S Venkataraman
190,Roopa Nagraj
191,N Vare
192,Humaira Tasneem
193,R Oa
194,J Cleetus
195,RS Glen
196,S Saengsakaorat
197,PA Chatterji
198,K McGill
199,O Kamchomphu
200,RK Willis
201,P Nakitende
202,S Nampiina
203,N Sharma
204,I Toua
205,M Tom
206,V Araa
207,A Aitken
208,N D'souza
209,IS Mananelage
210,LK O'Reilly
211,Salma Khatun
212,CJ Metcalfe
213,Nahida Akter
214,Yusrina Yaakop
215,Christina Baret
216,WA Duraisingam
217,Mas Elysa
218,Mahirah Izzati Ismail
219,J Intan
220,Sasha Azmi
221,Zumika Azmi
222,Noor Hayati Zakaria
223,Ainna Hamizah Hashim
224,Nur Nadihirah
225,Muneeba Ali
226,S Saenya
227,MR Meshram
228,OU Ranasinghe
229,Nain Abidi
230,BMSM Kumari
231,KDU Prabodhani
232,Wan Julia
233,J Goswami
234,Javeria Rauf
235,Aina Najwa
236,M Shehani
237,H Madavi
238,E Bisht
239,D Hemalatha
240,RP Yadav
241,Ayesha Zafar
242,Umaima Sohail
243,SA Campbelle
244,NY McLean
245,Lata Mondal
246,Khadija Tul Kubra
247,LE Kaushalya
248,C Raack
249,Ritu Moni
250,CA Henry
251,M Daniels
